Car Type,Vehicle Chassis,Fuel type,url,Manufacturer,Model,Price (€)
Peugeot 308 HYbrid 180 Active Pack Business,Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-phev,Peugeot,308 HYbrid 180 Active Pack Business, 614
Citroën C5 Aircross Hybrid PHEV Feel,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c5-aircross-phev,Citroën,C5 Aircross Hybrid PHEV Feel, 614
Toyota bZ4X Active,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/bz4x-ev,Toyota,bZ4X Active, 619
Peugeot 5008 Active Pack Business,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008,Peugeot,5008 Active Pack Business, 619
Opel Grandland PHEV,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/grandland-phev,Opel,Grandland PHEV, 619
Jeep Compass Altitude,SUV ,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-mhev,Jeep,Compass Altitude, 619
Jeep Renegade 4Xe PHEV Altitude,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/renegade-phev,Jeep,Renegade 4Xe PHEV Altitude, 619
Seat Tarraco Style Business Intense,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/tarraco,Seat,Tarraco Style Business Intense, 624
Mercedes-Benz A250e PHEV Business Line Limousine,Sedan,Elektriciteit/Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-limousine-phev,Mercedes-Benz,A250e PHEV Business Line Limousine, 624
Skoda Enyaq Coupe Selection 60 (62 kWh),SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-coupe-ev,Skoda,Enyaq Coupe Selection 60 (62 kWh), 629
Hyundai TUCSON PHEV Comfort,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-phev,Hyundai,TUCSON PHEV Comfort, 629
Mercedes-Benz A250e PHEV Business Line Hatchback,Hatchback,Elektriciteit/Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-hatchback-phev,Mercedes-Benz,A250e PHEV Business Line Hatchback, 629
Zeekr X,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/zeekr/x-ev,Zeekr,X, 629
Volkswagen Tiguan Life,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/tiguan,Volkswagen,Tiguan Life, 629
Cupra Leon PHEV,Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-phev,Cupra,Leon PHEV, 639
Mercedes-Benz B180 Business Line,MPV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-mhev,Mercedes-Benz,B180 Business Line, 639
Mercedes-Benz EQA 250+ Business Line,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqa-ev,Mercedes-Benz,EQA 250+ Business Line, 639
Nissan ARIYA Advance 63 kWh,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/ariya-ev,Nissan,ARIYA Advance 63 kWh, 649
Alfa Romeo Tonale Super,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/tonale-mhev,Alfa Romeo, Tonale Super, 649
Ford Mustang Mach-E RWD 75 kWh,SUV5-deurs,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/mustang-mach-e-ev,Ford,Mustang Mach-E RWD 75 kWh, 649
Volvo XC40 Recharge Single Motor Core,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/xc40-recharge-ev,Volvo,XC40 Recharge Single Motor Core, 649
Mercedes-Benz B250e PHEV Business Line,MPV,Elektriciteit/Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-phev,Mercedes-Benz,B250e PHEV Business Line, 649
Mazda 6 sedan,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/6,Mazda,6 sedan, 649
Mercedes-Benz CLA 180 Business Line,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-mhev,Mercedes-Benz,CLA 180 Business Line, 649
KIA Sportage PHEV DynamicLine,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/sportage-phev,KIA,Sportage PHEV DynamicLine, 659
Peugeot 408 HYbrid 180 Allure (PHEV),Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408-phev,Peugeot,408 HYbrid 180 Allure (PHEV), 659
Lexus UX 250h Hybrid Standaard,SUV,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lexus/ux-250h-hybrid,Lexus,UX 250h Hybrid Standaard, 659
Cupra Leon Sportstourer PHEV,Stationwagen,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-sportstourer-phev,Cupra,Leon Sportstourer PHEV, 664
Mercedes-Benz EQB 250+ Business Edition,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqb-ev,Mercedes-Benz,EQB 250+ Business Edition, 664
Mini Countryman Cooper SE All4,SUV5 deurs,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/countryman-phev,Mini,Countryman Cooper SE All4, 669
Jeep Compass 4Xe PHEV Altitude,SUV ,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-phev,Jeep,Compass 4Xe PHEV Altitude, 669
MG Marvel R Luxury,SUV5 deurs,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/marvel-r-ev,MG,Marvel R Luxury, 669
Mercedes-Benz CLA Coupé 250e PHEV Business Line,Sedan,Elektriciteit/Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-phev,Mercedes-Benz,CLA Coupé 250e PHEV Business Line, 669
Volvo C40 Recharge Single Motor Core,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/c40-recharge-ev,Volvo,C40 Recharge Single Motor Core, 669
Cupra Formentor e-Hybrid PHEV,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/formentor-phev,Cupra,Formentor e-Hybrid PHEV, 669
Mazda 6 Sportbreak,Stationwagen ,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/6-sportbreak,Mazda,6 Sportbreak, 684
BMW X1 sDrive 18iA,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x1,BMW,X1 sDrive 18iA, 684
Citroën C5 X PHEV 180 You,Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c5-x-phev,Citroën,C5 X PHEV 180 You, 689
BMW 225e xDrive Active Tourer PHEV,MPV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer-phev,BMW,225e xDrive Active Tourer PHEV, 689
Mercedes-Benz CLA 180 Shooting Brake Business Line,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-shooting-brake-mhev,Mercedes-Benz,CLA 180 Shooting Brake Business Line, 689
Xpeng P7 RWD Long Range,Sedan,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/xpeng/p7-ev,Xpeng,P7 RWD Long Range, 699
Toyota RAV4 Hybrid Active,SUV,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/rav4-hybrid,Toyota,RAV4 Hybrid Active, 699
Polestar 2 Long Range Single Motor,hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/polestar/2-ev,Polestar,2 Long Range Single Motor, 699
Peugeot 5008 Active Pack Business,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008-mhev,Peugeot,5008 Active Pack Business, 699
Audi Q4 45 e-tron Edition,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/q4-e-tron-ev,Audi,Q4 45 e-tron Edition, 709
BMW iX1,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/ix1-ev,BMW,iX1, 714
Mercedes-Benz CLA 250e PHEV Shooting Brake  Business Line,Stationwagen,Elektriciteit/Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-shooting-brake-phev,Mercedes-Benz,CLA 250e PHEV Shooting Brake  Business Line, 719
DS 7 E-Tense PHEV,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/7-phev,DS,7 E-Tense PHEV, 724
BMW X1 xDrive 25eA,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x1-phev,BMW,X1 xDrive 25eA, 729
BMW i4 eDrive 35,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/i4-ev,BMW,i4 eDrive 35, 729
Mazda CX-60 PHEV,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/cx-60-phev,Mazda,CX-60 PHEV, 734
VinFast VF8 Eco,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/vinfast/vf-8-ev,VinFast,VF8 Eco, 749
BMW 3-serie Touring 320e Business Edition Plus,Stationwagen,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/3-serie-touring-phev,BMW,3-serie Touring 320e Business Edition Plus, 754
Peugeot 508 HYbrid Allure,Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/508-phev,Peugeot,508 HYbrid Allure, 759
BMW 3-serie Touring 318iA,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/3-serie-touring,BMW,3-serie Touring 318iA, 759
Subaru Solterra,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/subaru/solterra-ev,Subaru,Solterra, 769
Peugeot 508 SW HYbrid Allure,Stationwagen,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/508-sw-phev,Peugeot,508 SW HYbrid Allure, 779
Toyota RAV4 Plug-In Hybrid Dynamic,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/rav4-phev,Toyota,RAV4 Plug-In Hybrid Dynamic, 789
Volvo V60 Core MHEV,Stationwagen ,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/v60-mhev,Volvo,V60 Core MHEV, 789
Xpeng G9 RWD Standard Range,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/xpeng/g9-ev,Xpeng,G9 RWD Standard Range, 799
Zeekr 001,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/zeekr/001-ev,Zeekr,001, 829
Volvo V60 Core Bright PHEV,Stationwagen ,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/v60-phev,Volvo,V60 Core Bright PHEV, 844
Nio ET5,Sedan,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/et5-ev,Nio,ET5, 859
Nio ET5,Stationwagen,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/et5-touring-ev,Nio,ET5, 899
BMW X3 xDrive 30e,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/x3-phev,BMW,X3 xDrive 30e, 899
BMW iX3 Executive,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/ix3-ev,BMW,iX3 Executive, 899
Kia EV9 Air RWD,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ev9-ev,Kia,EV9 Air RWD, 899
Lexus ES 300h Hybrid Comfort Line,Sedan,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lexus/es-300h-hybrid,Lexus,ES 300h Hybrid Comfort Line, 909
Nio EL6,SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nio/el6-ev,Nio,EL6, 919
Alfa Romeo Giulia Sprint,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/giulia,Alfa Romeo, Giulia Sprint, 944
BMW i5 eDrive 40,Sedan,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/i5-ev,BMW,i5 eDrive 40, 954
Land Rover Range Rover Evoque,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/land-rover/range-rover-evoque-phev,Land Rover,Rover Range Rover Evoque, 969
Volkswagen ID. Buzz,MPV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/id.-buzz-ev,Volkswagen,ID. Buzz, 1009
Volvo XC60 Plus Bright PHEV,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/xc60-phev,Volvo,XC60 Plus Bright PHEV, 1019
Alfa Romeo Stelvio Sprint AWD,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/alfa-romeo/stelvio,Alfa Romeo, Stelvio Sprint AWD, 1129
Volkswagen Polo,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=G465KP&condition=occasion,Volkswagen,Polo, 359
Kia Rio,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=N489BP&condition=occasion,Kia,Rio, 379
Opel Corsa,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K493HF&condition=occasion,Opel,Corsa, 379
Mazda Mazda3,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J200LR&condition=occasion,Mazda,Mazda3, 414
Opel Crossland,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=N396ZN&condition=occasion,Opel,Crossland, 419
Audi A3 Limousine,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J459LJ&condition=occasion,Audi,A3 Limousine, 419
Opel Astra Sports Tourer,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K300BR&condition=occasion,Opel,Astra Sports Tourer, 419
Ford Fiesta,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K795JT&condition=occasion,Ford,Fiesta, 419
Opel Mokka-e,SUV,Volledig elektrisch,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P532VN&condition=occasion,Opel,Mokka-e, 419
Nissan Juke,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=S817BG&condition=occasion,Nissan,Juke, 429
Opel Corsa-e,Hatchback,Volledig elektrisch,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=T492ZF&condition=occasion,Opel,Corsa-e, 429
Ford EcoSport,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=G529TK&condition=occasion,Ford,EcoSport, 429
Opel Crossland X,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=J289RT&condition=occasion,Opel,Crossland X, 429
Mercedes-Benz A-klasse,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=L164RR&condition=occasion,Mercedes-Benz,A-klasse, 429
Opel Grandland X,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZT619X&condition=occasion,Opel,Grandland X, 449
Mazda CX-30,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=L421NR&condition=occasion,Mazda,CX-30, 449
Peugeot 508,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H600KK&condition=occasion,Peugeot,508, 469
Ford Puma,SUV,Benzine hybride,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=K618ZT&condition=occasion,Ford,Puma, 479
Mercedes-Benz B-Klasse,MiniMPV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H713RB&condition=occasion,Mercedes-Benz,B-Klasse, 529
Renault Grand Scénic,MiniMPV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P598TT&condition=occasion,Renault,Grand Scénic, 529
Hyundai Tucson,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=P616NV&condition=occasion,Hyundai,Tucson, 529
Peugeot 508 SW,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=R998KJ&condition=occasion,Peugeot,508 SW, 599
Kia ProCeed,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=R066HN&condition=occasion,Kia,ProCeed, 609
Seat Tarraco,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=S591TG&condition=occasion,Seat,Tarraco, 619
Kia Sportage,SUV,Benzine hybride,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=T689SK&condition=occasion,Kia,Sportage, 639
Volvo XC40,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZV178Z&condition=occasion,Volvo,XC40, 659
Hyundai KONA,SUV,Volledig elektrisch,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=hyundai_kona_elektriciteit,Hyundai,KONA, 434
Kia Niro,Hatchback,Volledig elektrisch,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=kia_niro_elektriciteit,Kia,Niro, 439
Nissan QASHQAI,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=nissan_qashqai_benzine,Nissan,QASHQAI, 459
Ford Mondeo,Sedan,Benzine hybride,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=ford_mondeo_hybride-benzine,Ford,Mondeo, 479
Hyundai Tucson,SUV,Benzine hybride,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=hyundai_tucson_hybride-benzine,Hyundai,Tucson, 499
Tesla Model S,Hatchback,Volledig elektrisch,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=tesla_model-s_elektriciteit,Tesla,Model S, 539
Mazda 6 Sportbreak,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=mazda_6-sportbreak_benzine,Mazda,6 Sportbreak, 549
Volvo V60,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/productgroep=volvo_v60_benzine,Volvo,V60, 599
