CarType,Fueltype,VehicleChassis
Hyundai i30,Benzine,Hatchback (5-deurs)
Hyundai KONA,Volledig elektrisch,SUV (5-deurs)
Kia Niro,Volledig elektrisch,Hatchback (5-deurs)
Nissan QASHQAI,Benzine,SUV (5-deurs)
Ford Mondeo,Benzine hybride,Sedan (4-deurs)
Tesla Model 3,Volledig elektrisch,Sedan (4-deurs)
Hyundai Tucson,Benzine hybride,SUV (5-deurs)
Tesla Model S,Volledig elektrisch,Hatchback (5-deurs)
Mazda 6 Sportbreak,Benzine,Stationwagen (5-deurs)
Volvo V60,Benzine,Stationwagen (5-deurs)
